R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Valentina Shevchenko;Joanna Jedrzejczyk;UFC Women's Flyweight Title Bout;Decision - Unanimous;1.0
Katlyn Chookagian;Jessica Eye;Women's Flyweight Bout;Decision - Split;1.0
Jimi Manuwa;Thiago Santos;Light Heavyweight Bout;KO/TKO;0.5
Hakeem Dawodu;Kyle Bochniak;Featherweight Bout;Decision - Split;1.0
Elias Theodorou;Eryk Anders;Middleweight Bout;Decision - Split;1.0
Brad Katona;Matthew Lopez;Bantamweight Bout;Decision - Unanimous;1.0
Diego Ferreira;Kyle Nelson;Lightweight Bout;KO/TKO;0.5
Max Holloway;Brian Ortega;UFC Featherweight Title Bout;TKO - Doctor's Stoppage;0.5
Devin Clark;Aleksandar Rakic;Light Heavyweight Bout;KO/TKO;0.5
Chad Laprise;Dhiego Lima;Welterweight Bout;KO/TKO;0.5
Mark Hunt;Justin Willis;Heavyweight Bout;Decision - Unanimous;1.0
Wilson Reis;Ben Nguyen;Flyweight Bout;Decision - Unanimous;1.0
Suman Mokhtarian;Sodiq Yusuff;Featherweight Bout;KO/TKO;0.5
Yushin Okami;Aleksei Kunchenko;Welterweight Bout;Decision - Unanimous;1.0
Jake Matthews;Anthony Rocco Martin;Welterweight Bout;Submission;0.5
Jimmy Crute;Paul Craig;Light Heavyweight Bout;Submission;0.5
Junior Dos Santos;Tai Tuivasa;Heavyweight Bout;KO/TKO;0.5
Mauricio Rua;Tyson Pedro;Light Heavyweight Bout;KO/TKO;0.5
Alex Gorgees;Damir Ismagulov;Lightweight Bout;Decision - Unanimous;1.0
Keita Nakamura;Salim Touahri;Welterweight Bout;Decision - Split;1.0
Elias Garcia;Kai Kara-France;Flyweight Bout;Decision - Unanimous;1.0
Mizuto Hirota;Christos Giagos;Lightweight Bout;Decision - Unanimous;1.0
Joseph Benavidez;Alex Perez;Flyweight Bout;KO/TKO;0.5
Darren Stewart;Edmen Shahbazyan;Middleweight Bout;Decision - Split;1.0
Juan Espino;Justin Frazier;Ultimate Fighter 28 Heavyweight Tournament Title Bout;Submission;0.5
Rick Glenn;Kevin Aguilar;Featherweight Bout;Decision - Unanimous;1.0
Ji Yeon Kim;Antonina Shevchenko;Women's Flyweight Bout;Decision - Unanimous;1.0
Rafael Dos Anjos;Kamaru Usman;Welterweight Bout;Decision - Unanimous;1.0
Pedro Munhoz;Bryan Caraway;Bantamweight Bout;KO/TKO;0.5
Pannie Kianzad;Macy Chiasson;Ultimate Fighter 28 Women's Featherweight Tournament Title Bout;Submission;0.5
Roosevelt Roberts;Darrell Horcher;Lightweight Bout;Submission;0.5
Julija Stoliarenko;Leah Letson;Women's Featherweight Bout;Decision - Split;1.0
Tim Means;Ricky Rainey;Welterweight Bout;KO/TKO;0.5
Maurice Greene;Michel Batista;Heavyweight Bout;Submission;0.5
Raoni Barcelos;Chris Gutierrez;Bantamweight Bout;Submission;0.5
Zhang Weili;Jessica Aguilar;Women's Strawweight Bout;Submission;0.5
Song Kenan;Alex Morono;Welterweight Bout;Decision - Unanimous;1.0
Alistair Overeem;Sergei Pavlovich;Heavyweight Bout;KO/TKO;0.5
Wu Yanan;Lauren Mueller;Women's Flyweight Bout;Submission;0.5
Hu Yaozong;Rashad Coulter;Light Heavyweight Bout;Decision - Unanimous;1.0
Song Yadong;Vince Morales;Bantamweight Bout;Decision - Unanimous;1.0
Li Jingliang;David Zawada;Welterweight Bout;KO/TKO;0.5
Curtis Blaydes;Francis Ngannou;Heavyweight Bout;KO/TKO;0.5
Kevin Holland;John Phillips;Middleweight Bout;Submission;0.5
Yan Xiaonan;Syuri Kondo;Women's Strawweight Bout;Decision - Unanimous;1.0
Su Mudaerji;Louis Smolka;Bantamweight Bout;Submission;0.5
Pingyuan Liu;Martin Day;Bantamweight Bout;Decision - Split;1.0
Michel Prazeres;Bartosz Fabinski;Welterweight Bout;Submission;0.5
Guido Cannetti;Marlon Vera;Bantamweight Bout;Submission;0.5
Khalil Rountree Jr.;Johnny Walker;Light Heavyweight Bout;KO/TKO;0.5
Cynthia Calvillo;Poliana Botelho;Women's Strawweight Bout;Submission;0.5
Cezar Ferreira;Ian Heinisch;Middleweight Bout;Decision - Unanimous;1.0
Alexandre Pantoja;Yuta Sasaki;Flyweight Bout;Submission;0.5
Neil Magny;Santiago Ponzinibbio;Welterweight Bout;KO/TKO;0.5
Ricardo Lamas;Darren Elkins;Featherweight Bout;KO/TKO;0.5
Devin Powell;Jesus Pinedo;Lightweight Bout;Decision - Unanimous;1.0
Humberto Bandenay;Austin Arnett;Featherweight Bout;Decision - Unanimous;1.0
Nad Narimani;Anderson Dos Santos;Featherweight Bout;Decision - Unanimous;1.0
Laureano Staropoli;Hector Aldana;Welterweight Bout;Decision - Unanimous;1.0
Maycee Barber;Hannah Cifers;Women's Strawweight Bout;KO/TKO;0.5
Beneil Dariush;Thiago Moises;Lightweight Bout;Decision - Unanimous;1.0
Michael Trizano;Luis Pena;Lightweight Bout;Decision - Split;1.0
Chas Skelly;Bobby Moffett;Featherweight Bout;Overturned;2.0
Raquel Pennington;Germaine de Randamie;Women's Bantamweight Bout;Decision - Unanimous;1.0
Chan Sung Jung;Yair Rodriguez;Featherweight Bout;KO/TKO;0.5
Ashley Yoder;Amanda Cooper;Women's Strawweight Bout;Decision - Split;1.0
Donald Cerrone;Mike Perry;Welterweight Bout;Submission;0.5
Devonte Smith;Julian Erosa;Lightweight Bout;KO/TKO;0.5
Joseph Morales;Eric Shelton;Flyweight Bout;Decision - Split;1.0
Davi Ramos;John Gunther;Lightweight Bout;Submission;0.5
Mark De La Rosa;Joby Sanchez;Bantamweight Bout;Decision - Split;1.0
Jason Knight;Jordan Rinaldi;Featherweight Bout;Decision - Unanimous;1.0
Karl Roberson;Jack Marshman;Middleweight Bout;Decision - Unanimous;1.0
David Branch;Jared Cannonier;Middleweight Bout;KO/TKO;0.5
Daniel Cormier;Derrick Lewis;UFC Heavyweight Title Bout;Submission;0.5
Derek Brunson;Israel Adesanya;Middleweight Bout;KO/TKO;0.5
Julio Arce;Sheymon Moraes;Featherweight Bout;Decision - Split;1.0
Sijara Eubanks;Roxanne Modafferi;Women's Flyweight Bout;Decision - Unanimous;1.0
Chris Weidman;Jacare Souza;Middleweight Bout;KO/TKO;0.5
Matt Frevola;Lando Vannata;Lightweight Bout;Decision - Majority;1.0
Lyman Good;Ben Saunders;Welterweight Bout;KO/TKO;0.5
Shane Burgos;Kurt Holobaugh;Featherweight Bout;Submission;0.5
Adam Wieczorek;Marcos Rogerio de Lima;Heavyweight Bout;Decision - Unanimous;1.0
Misha Cirkunov;Patrick Cummins;Light Heavyweight Bout;Submission;0.5
Gian Villante;Ed Herman;Light Heavyweight Bout;Decision - Split;1.0
Nordine Taleb;Sean Strickland;Welterweight Bout;KO/TKO;0.5
Alex Garcia;Court McGee;Welterweight Bout;Decision - Unanimous;1.0
Michael Johnson;Artem Lobov;Featherweight Bout;Decision - Unanimous;1.0
Volkan Oezdemir;Anthony Smith;Light Heavyweight Bout;Submission;0.5
Thibault Gouti;Nasrat Haqparast;Lightweight Bout;Decision - Unanimous;1.0
Andre Soukhamthath;Jonathan Martinez;Bantamweight Bout;Decision - Unanimous;1.0
Calvin Kattar;Chris Fishgold;Featherweight Bout;KO/TKO;0.5
Sarah Moras;Talita Bernardo;Women's Bantamweight Bout;Decision - Unanimous;1.0
Te Edwards;Don Madge;Lightweight Bout;KO/TKO;0.5
Stevie Ray;Jessin Ayari;Lightweight Bout;Decision - Unanimous;1.0
Arjan Bhullar;Marcelo Golm;Heavyweight Bout;Decision - Unanimous;1.0
Sergio Pettis;Jussier Formiga;Flyweight Bout;Decision - Unanimous;1.0
Vicente Luque;Jalin Turner;Welterweight Bout;KO/TKO;0.5
Tony Ferguson;Anthony Pettis;Lightweight Bout;KO/TKO;0.5
Ovince Saint Preux;Dominick Reyes;Light Heavyweight Bout;Decision - Unanimous;1.0
Michelle Waterson;Felice Herrig;Women's Strawweight Bout;Decision - Unanimous;1.0
Aspen Ladd;Tonya Evinger;Women's Bantamweight Bout;KO/TKO;0.5
Derrick Lewis;Alexander Volkov;Heavyweight Bout;KO/TKO;0.5
Khabib Nurmagomedov;Conor McGregor;UFC Lightweight Title Bout;Submission;0.5
Scott Holtzman;Alan Patrick;Lightweight Bout;KO/TKO;0.5
Lina Lansberg;Yana Kunitskaya;Women's Bantamweight Bout;Decision - Unanimous;1.0
Ryan LaFlare;Anthony Rocco Martin;Welterweight Bout;KO/TKO;0.5
Gray Maynard;Nik Lentz;Lightweight Bout;KO/TKO;0.5
Alex Oliveira;Carlo Pedersoli Jr.;Welterweight Bout;KO/TKO;0.5
Luis Henrique;Ryan Spann;Light Heavyweight Bout;Decision - Unanimous;1.0
Charles Oliveira;Christos Giagos;Lightweight Bout;Submission;0.5
Randa Markos;Marina Rodriguez;Women's Strawweight Bout;Decision - Majority;1.0
Sam Alvey;Rogerio Nogueira;Light Heavyweight Bout;KO/TKO;0.5
Francisco Trinaldo;Evan Dunham;Lightweight Bout;KO/TKO;0.5
Thiago Santos;Eryk Anders;Light Heavyweight Bout;KO/TKO;0.5
Renan Barao;Andre Ewell;Bantamweight Bout;Decision - Split;1.0
Sergio Moraes;Ben Saunders;Welterweight Bout;Submission;0.5
Mayra Bueno Silva;Gillian Robertson;Women's Flyweight Bout;Submission;0.5
Augusto Sakai;Chase Sherman;Heavyweight Bout;KO/TKO;0.5
Elizeu Zaleski dos Santos;Luigi Vendramini;Welterweight Bout;KO/TKO;0.5
Thales Leites;Hector Lombard;Middleweight Bout;Decision - Unanimous;1.0
Livinha Souza;Alex Chambers;Women's Strawweight Bout;Submission;0.5
Rustam Khabilov;Kajan Johnson;Lightweight Bout;Decision - Split;1.0
Andrei Arlovski;Shamil Abdurakhimov;Heavyweight Bout;Decision - Unanimous;1.0
Aleksei Kunchenko;Thiago Alves;Welterweight Bout;Decision - Unanimous;1.0
Jan Blachowicz;Nikita Krylov;Light Heavyweight Bout;Submission;0.5
Khalid Murtazaliev;CB Dollaway;Middleweight Bout;KO/TKO;0.5
Mark Hunt;Aleksei Oleinik;Heavyweight Bout;Submission;0.5
Petr Yan;Jin Soo Son;Bantamweight Bout;Decision - Unanimous;1.0
Mairbek Taisumov;Desmond Green;Lightweight Bout;Decision - Unanimous;1.0
Magomed Ankalaev;Marcin Prachnio;Light Heavyweight Bout;KO/TKO;0.5
Adam Yandiev;Jordan Johnson;Middleweight Bout;Submission;0.5
Ramazan Emeev;Stefan Sekulic;Welterweight Bout;Decision - Unanimous;1.0
Merab Dvalishvili;Terrion Ware;Bantamweight Bout;Decision - Unanimous;1.0
Jimmie Rivera;John Dodson;Bantamweight Bout;Decision - Unanimous;1.0
Jessica Andrade;Karolina Kowalkiewicz;Women's Strawweight Bout;KO/TKO;0.5
Zabit Magomedsharipov;Brandon Davis;Featherweight Bout;Submission;0.5
Aljamain Sterling;Cody Stamann;Bantamweight Bout;Submission;0.5
Abdul Razak Alhassan;Niko Price;Welterweight Bout;KO/TKO;0.5
Carla Esparza;Tatiana Suarez;Women's Strawweight Bout;KO/TKO;0.5
Geoff Neal;Frank Camacho;Welterweight Bout;KO/TKO;0.5
Tyron Woodley;Darren Till;UFC Welterweight Title Bout;Submission;0.5
Charles Byrd;Darren Stewart;Middleweight Bout;KO/TKO;0.5
Jim Miller;Alex White;Lightweight Bout;Submission;0.5
Irene Aldana;Lucie Pudilova;Women's Bantamweight Bout;Decision - Split;1.0
Diego Sanchez;Craig White;Welterweight Bout;Decision - Unanimous;1.0
Robert Sanchez;Jarred Brooks;Flyweight Bout;Decision - Split;1.0
Cortney Casey;Angela Hill;Women's Strawweight Bout;Decision - Split;1.0
Cory Sandhagen;Iuri Alcantara;Bantamweight Bout;KO/TKO;0.5
John Moraga;Deiveson Figueiredo;Flyweight Bout;KO/TKO;0.5
Eryk Anders;Tim Williams;Middleweight Bout;KO/TKO;0.5
James Krause;Warlley Alves;Welterweight Bout;KO/TKO;0.5
Jake Ellenberger;Bryan Barberena;Welterweight Bout;KO/TKO;0.5
Justin Gaethje;James Vick;Lightweight Bout;KO/TKO;0.5
Michael Johnson;Andre Fili;Featherweight Bout;Decision - Split;1.0
Joanne Calderwood;Kalindra Faria;Women's Flyweight Bout;Submission;0.5
Andrew Sanchez;Markus Perez;Middleweight Bout;Decision - Unanimous;1.0
Rani Yahya;Luke Sanders;Bantamweight Bout;Submission;0.5
Mickey Gall;George Sullivan;Welterweight Bout;Submission;0.5
Drew Dober;Jon Tuck;Lightweight Bout;Decision - Unanimous;1.0
Thiago Santos;Kevin Holland;Middleweight Bout;Decision - Unanimous;1.0
TJ Dillashaw;Cody Garbrandt;UFC Bantamweight Title Bout;KO/TKO;0.5
Ricardo Ramos;Kyung Ho Kang;Bantamweight Bout;Decision - Split;1.0
Polyana Viana;JJ Aldrich;Women's Strawweight Bout;Decision - Unanimous;1.0
Ricky Simon;Montel Jackson;Bantamweight Bout;Decision - Unanimous;1.0
Cub Swanson;Renato Moicano;Featherweight Bout;Submission;0.5
Pedro Munhoz;Brett Johns;Bantamweight Bout;Decision - Unanimous;1.0
Demetrious Johnson;Henry Cejudo;UFC Flyweight Title Bout;Decision - Split;1.0
Matt Sayles;Sheymon Moraes;Featherweight Bout;Decision - Unanimous;1.0
Marlon Vera;Wuliji Buren;Bantamweight Bout;KO/TKO;0.5
Alex Perez;Jose Torres;Flyweight Bout;KO/TKO;0.5
Danielle Taylor;Zhang Weili;Women's Strawweight Bout;Decision - Unanimous;1.0
Kajan Johnson;Islam Makhachev;Lightweight Bout;Submission;0.5
Joanna Jedrzejczyk;Tecia Torres;Women's Strawweight Bout;Decision - Unanimous;1.0
Alexander Hernandez;Olivier Aubin-Mercier;Lightweight Bout;Decision - Unanimous;1.0
Gadzhimurad Antigulov;Ion Cutelaba;Light Heavyweight Bout;KO/TKO;0.5
Eddie Alvarez;Dustin Poirier;Lightweight Bout;KO/TKO;0.5
Jose Aldo;Jeremy Stephens;Featherweight Bout;KO/TKO;0.5
Hakeem Dawodu;Austin Arnett;Featherweight Bout;Decision - Unanimous;1.0
Jordan Mein;Alex Morono;Welterweight Bout;Decision - Unanimous;1.0
Dustin Ortiz;Matheus Nicolau;Flyweight Bout;KO/TKO;0.5
Randa Markos;Nina Ansaroff;Women's Strawweight Bout;Decision - Unanimous;1.0
Alexis Davis;Katlyn Chookagian;Women's Flyweight Bout;Decision - Unanimous;1.0
Devin Powell;Alvaro Herrera Mendoza;Lightweight Bout;KO/TKO;0.5
John Makdessi;Ross Pearson;Lightweight Bout;Decision - Unanimous;1.0
Mauricio Rua;Anthony Smith;Light Heavyweight Bout;KO/TKO;0.5
Glover Teixeira;Corey Anderson;Light Heavyweight Bout;Decision - Unanimous;1.0
Emil Meek;Bartosz Fabinski;Welterweight Bout;Decision - Unanimous;1.0
Vitor Miranda;Abu Azaitar;Middleweight Bout;Decision - Unanimous;1.0
Danny Roberts;David Zawada;Welterweight Bout;Decision - Split;1.0
Nasrat Haqparast;Marc Diakiese;Lightweight Bout;Decision - Unanimous;1.0
Nick Hein;Damir Hadzovic;Lightweight Bout;Decision - Split;1.0
Marcin Tybura;Stefan Struve;Heavyweight Bout;Decision - Unanimous;1.0
Davey Grant;Manny Bermudez;Bantamweight Bout;Submission;0.5
Khalid Taha;Nad Narimani;Featherweight Bout;Decision - Unanimous;1.0
Justin Ledet;Aleksandar Rakic;Light Heavyweight Bout;Decision - Unanimous;1.0
Jeremy Kimball;Darko Stosic;Light Heavyweight Bout;KO/TKO;0.5
Damian Stasiak;Pingyuan Liu;Bantamweight Bout;Decision - Unanimous;1.0
Myles Jury;Chad Mendes;Featherweight Bout;KO/TKO;0.5
Darren Elkins;Alexander Volkanovski;Featherweight Bout;Decision - Unanimous;1.0
Randy Brown;Niko Price;Welterweight Bout;KO/TKO;0.5
Junior Dos Santos;Blagoy Ivanov;Heavyweight Bout;Decision - Unanimous;1.0
Sage Northcutt;Zak Ottow;Welterweight Bout;KO/TKO;0.5
Cat Zingano;Marion Reneau;Women's Bantamweight Bout;Decision - Unanimous;1.0
Dennis Bermudez;Rick Glenn;Featherweight Bout;Decision - Split;1.0
Eddie Wineland;Alejandro Perez;Bantamweight Bout;Decision - Unanimous;1.0
Kurt Holobaugh;Raoni Barcelos;Featherweight Bout;KO/TKO;0.5
Mark De La Rosa;Elias Garcia;Flyweight Bout;Submission;0.5
Justin Scoggins;Said Nurmagomedov;Flyweight Bout;Decision - Split;1.0
Jessica Aguilar;Jodie Esquibel;Women's Strawweight Bout;Decision - Unanimous;1.0
Liz Carmouche;Jennifer Maia;Women's Flyweight Bout;Decision - Unanimous;1.0
Raphael Assuncao;Rob Font;Bantamweight Bout;Decision - Unanimous;1.0
Lando Vannata;Drakkar Klose;Lightweight Bout;Decision - Unanimous;1.0
Gokhan Saki;Khalil Rountree Jr.;Light Heavyweight Bout;KO/TKO;0.5
Uriah Hall;Paulo Costa;Middleweight Bout;KO/TKO;0.5
Francis Ngannou;Derrick Lewis;Heavyweight Bout;Decision - Unanimous;1.0
Paul Felder;Mike Perry;Welterweight Bout;Decision - Split;1.0
Michael Chiesa;Anthony Pettis;Lightweight Bout;Submission;0.5
Dan Hooker;Gilbert Burns;Lightweight Bout;KO/TKO;0.5
Curtis Millender;Max Griffin;Welterweight Bout;Decision - Unanimous;1.0
Jamie Moyle;Emily Whitmire;Women's Strawweight Bout;Decision - Unanimous;1.0
Jay Cucciniello;Brad Katona;Ultimate Fighter 27 Featherweight Tournament Title Bout;Decision - Unanimous;1.0
Michael Trizano;Joe Giannetti;Ultimate Fighter 27 Lightweight Tournament Title Bout;Decision - Split;1.0
Brad Tavares;Israel Adesanya;Middleweight Bout;Decision - Unanimous;1.0
Luis Pena;Richie Smullen;Lightweight Bout;Submission;0.5
Alessio Di Chirico;Julian Marquez;Middleweight Bout;Decision - Split;1.0
Montana De La Rosa;Rachael Ostovich;Women's Flyweight Bout;Submission;0.5
Roxanne Modafferi;Barb Honchak;Women's Flyweight Bout;KO/TKO;0.5
Alex Caceres;Martin Bravo;Featherweight Bout;Decision - Split;1.0
John Gunther;Allan Zuniga;Lightweight Bout;Decision - Majority;1.0
Matt Bessette;Steven Peterson;Featherweight Bout;Decision - Split;1.0
Tyler Diamond;Bryce Mitchell;Featherweight Bout;Decision - Majority;1.0
Gerald Meerschaert;Oskar Piechota;Middleweight Bout;Submission;0.5
Song Kenan;Hector Aldana;Welterweight Bout;KO/TKO;0.5
Ovince Saint Preux;Tyson Pedro;Light Heavyweight Bout;Submission;0.5
Li Jingliang;Daichi Abe;Welterweight Bout;Decision - Unanimous;1.0
Teruto Ishihara;Petr Yan;Bantamweight Bout;KO/TKO;0.5
Donald Cerrone;Leon Edwards;Welterweight Bout;Decision - Unanimous;1.0
Jessica-Rose Clark;Jessica Eye;Women's Flyweight Bout;Decision - Unanimous;1.0
Felipe Arantes;Song Yadong;Bantamweight Bout;KO/TKO;0.5
Rolando Dy;Shane Young;Featherweight Bout;KO/TKO;0.5
Shinsho Anzai;Jake Matthews;Welterweight Bout;Submission;0.5
Viviane Pereira;Yan Xiaonan;Women's Strawweight Bout;Decision - Unanimous;1.0
Jenel Lausa;Yuta Sasaki;Flyweight Bout;Submission;0.5
Matt Schnell;Naoki Inoue;Flyweight Bout;Decision - Split;1.0
Ji Yeon Kim;Melinda Fabian;Women's Flyweight Bout;Decision - Split;1.0
Claudia Gadelha;Carla Esparza;Women's Strawweight Bout;Decision - Split;1.0
Andrei Arlovski;Tai Tuivasa;Heavyweight Bout;Decision - Unanimous;1.0
Ricardo Lamas;Mirsad Bektic;Featherweight Bout;Decision - Split;1.0
Rafael Dos Anjos;Colby Covington;UFC Interim Welterweight Title Bout;Decision - Unanimous;1.0
Alistair Overeem;Curtis Blaydes;Heavyweight Bout;KO/TKO;0.5
Robert Whittaker;Yoel Romero;Middleweight Bout;Decision - Split;1.0
CM Punk;Mike Jackson;Welterweight Bout;Overturned;2.0
Holly Holm;Megan Anderson;Women's Featherweight Bout;Decision - Unanimous;1.0
Rashad Coulter;Chris de la Rocha;Heavyweight Bout;KO/TKO;0.5
Rashad Evans;Anthony Smith;Light Heavyweight Bout;KO/TKO;0.5
Mike Santiago;Dan Ige;Featherweight Bout;KO/TKO;0.5
Clay Guida;Charles Oliveira;Lightweight Bout;Submission;0.5
Joseph Benavidez;Sergio Pettis;Flyweight Bout;Decision - Split;1.0
Jake Ellenberger;Ben Saunders;Welterweight Bout;KO/TKO;0.5
Jimmie Rivera;Marlon Moraes;Bantamweight Bout;KO/TKO;0.5
Nik Lentz;David Teymur;Lightweight Bout;Decision - Unanimous;1.0
Sijara Eubanks;Lauren Murphy;Women's Flyweight Bout;Decision - Unanimous;1.0
Gian Villante;Sam Alvey;Light Heavyweight Bout;Decision - Split;1.0
Walt Harris;Daniel Spitz;Heavyweight Bout;KO/TKO;0.5
Julio Arce;Daniel Teymur;Featherweight Bout;Submission;0.5
Gregor Gillespie;Vinc Pichel;Lightweight Bout;Submission;0.5
Jarred Brooks;Jose Torres;Flyweight Bout;KO/TKO;0.5
Desmond Green;Gleison Tibau;Lightweight Bout;Decision - Unanimous;1.0
Belal Muhammad;Chance Rencountre;Welterweight Bout;Decision - Unanimous;1.0
Johnny Eduardo;Nathaniel Wood;Bantamweight Bout;Submission;0.5
Neil Magny;Craig White;Welterweight Bout;KO/TKO;0.5
Jason Knight;Makwan Amirkhani;Featherweight Bout;Decision - Split;1.0
Lina Lansberg;Gina Mazany;Women's Bantamweight Bout;Decision - Unanimous;1.0
Eric Spicely;Darren Stewart;Middleweight Bout;KO/TKO;0.5
Stephen Thompson;Darren Till;Welterweight Bout;Decision - Unanimous;1.0
Arnold Allen;Mads Burnell;Featherweight Bout;Submission;0.5
Claudio Silva;Nordine Taleb;Welterweight Bout;Submission;0.5
Daniel Kelly;Tom Breese;Middleweight Bout;KO/TKO;0.5
Brad Scott;Carlo Pedersoli Jr.;Welterweight Bout;Decision - Split;1.0
Gillian Robertson;Molly McCann;Women's Flyweight Bout;Submission;0.5
Elias Theodorou;Trevor Smith;Middleweight Bout;Decision - Unanimous;1.0
Jared Cannonier;Dominick Reyes;Light Heavyweight Bout;KO/TKO;0.5
Alexa Grasso;Tatiana Suarez;Women's Strawweight Bout;Submission;0.5
Diego Rivas;Guido Cannetti;Bantamweight Bout;Decision - Unanimous;1.0
Zak Cummings;Michel Prazeres;Welterweight Bout;Decision - Split;1.0
Veronica Macedo;Andrea Lee;Women's Flyweight Bout;Decision - Unanimous;1.0
Demian Maia;Kamaru Usman;Welterweight Bout;Decision - Unanimous;1.0
Vicente Luque;Chad Laprise;Welterweight Bout;KO/TKO;0.5
Brandon Moreno;Alexandre Pantoja;Flyweight Bout;Decision - Unanimous;1.0
Poliana Botelho;Syuri Kondo;Women's Strawweight Bout;KO/TKO;0.5
Gabriel Benitez;Humberto Bandenay;Featherweight Bout;KO/TKO;0.5
Enrique Barzola;Brandon Davis;Featherweight Bout;Decision - Unanimous;1.0
Claudio Puelles;Felipe Silva;Lightweight Bout;Submission;0.5
Henry Briones;Frankie Saenz;Bantamweight Bout;Decision - Unanimous;1.0
Davi Ramos;Nick Hein;Lightweight Bout;Submission;0.5
Jacare Souza;Kelvin Gastelum;Middleweight Bout;Decision - Split;1.0
Amanda Nunes;Raquel Pennington;UFC Women's Bantamweight Title Bout;KO/TKO;0.5
Cezar Ferreira;Karl Roberson;Middleweight Bout;Submission;0.5
Mackenzie Dern;Amanda Cooper;Women's Strawweight Bout;Submission;0.5
John Lineker;Brian Kelleher;Bantamweight Bout;KO/TKO;0.5
Vitor Belfort;Lyoto Machida;Middleweight Bout;KO/TKO;0.5
Aleksei Oleinik;Junior Albini;Heavyweight Bout;Submission;0.5
Elizeu Zaleski dos Santos;Sean Strickland;Welterweight Bout;KO/TKO;0.5
Alberto Mina;Ramazan Emeev;Welterweight Bout;Decision - Unanimous;1.0
Thales Leites;Jack Hermansson;Middleweight Bout;KO/TKO;0.5
Warlley Alves;Sultan Aliev;Welterweight Bout;TKO - Doctor's Stoppage;0.5
Markus Perez;James Bochnovic;Middleweight Bout;Submission;0.5
Merab Dvalishvili;Ricky Simon;Bantamweight Bout;KO/TKO;0.5
Justin Willis;Chase Sherman;Heavyweight Bout;Decision - Unanimous;1.0
Frankie Edgar;Cub Swanson;Featherweight Bout;Decision - Unanimous;1.0
David Branch;Thiago Santos;Middleweight Bout;KO/TKO;0.5
Ryan LaFlare;Alex Garcia;Welterweight Bout;Decision - Unanimous;1.0
Edson Barboza;Kevin Lee;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Jim Miller;Dan Hooker;Lightweight Bout;KO/TKO;0.5
Aljamain Sterling;Brett Johns;Bantamweight Bout;Decision - Unanimous;1.0
Siyar Bahadurzada;Luan Chagas;Welterweight Bout;KO/TKO;0.5
Corey Anderson;Patrick Cummins;Light Heavyweight Bout;Decision - Unanimous;1.0
Anthony Rocco Martin;Keita Nakamura;Welterweight Bout;Decision - Unanimous;1.0
Michelle Waterson;Cortney Casey;Women's Strawweight Bout;Decision - Split;1.0
Dustin Poirier;Justin Gaethje;Lightweight Bout;KO/TKO;0.5
Wilson Reis;John Moraga;Flyweight Bout;Decision - Unanimous;1.0
Israel Adesanya;Marvin Vettori;Middleweight Bout;Decision - Split;1.0
